Date,Open,High,Low,Close
7-August-2019,37025.27,37104.79,36610.57,36690.5
8-August-2019,36808.01,37405.48,36655.41,37327.36
9-August-2019,37521.3,37807.55,37406.26,37581.91
13-August-2019,37755.16,37755.16,36888.49,36958.16
14-August-2019,37233.5,37473.61,37000.77,37311.53
16-August-2019,37383,37444.45,36974.41,37350.33
19-August-2019,37485.92,37718.88,37358.49,37402.49
20-August-2019,37441.75,37511.55,37219.9,37328.01
21-August-2019,37298.73,37406.55,37022.52,37060.37
22-August-2019,37087.58,37087.58,36391.35,36472.93
23-August-2019,36387.68,36807.34,36102.35,36701.16
26-August-2019,37363.95,37544.48,36492.65,37494.12
27-August-2019,37658.48,37731.51,37449.69,37641.27
28-August-2019,37655.77,37687.82,37249.19,37451.84
29-August-2019,37381.8,37381.8,36987.35,37068.93
30-August-2019,37222.26,37397.97,36829.81,37332.79
